0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 67541066
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 67082314
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 66754634
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 66558026
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 65804362
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 64231498
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 63445066
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 62560330
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 62232650
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 61675594
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 60004426
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 59349066
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 58366026
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 57972810
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 57645130
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 56105034
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 55449674
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 54597706
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 52697162
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 52533322
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 51943498
